ID,race_eth_cat,sex,alpha_rho,beta_rho,num_trees,seed,iter,thin,warmup,sigma2_beta,sigma2_beta_update_freq,beta_acc_prob,n_min,alpha_sigma,beta_sigma,moves,move_probs
40,'HISP','M',0.95,2,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
41,'NHAPI','F',0.3,3,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
42,'NHAPI','F',0.3,3,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
43,'NHAPI','F',0.3,3,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
44,'NHAPI','F',0.3,3,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
45,'NHAPI','F',0.3,3,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
46,'NHAPI','F',0.3,3,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
47,'NHAPI','F',0.3,3,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
48,'NHAPI','F',0.3,3,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
49,'NHAPI','F',0.3,3,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
50,'NHAPI','F',0.3,3,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
51,'NHAPI','F',0.95,2,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
52,'NHAPI','F',0.95,2,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
53,'NHAPI','F',0.95,2,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
54,'NHAPI','F',0.95,2,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
55,'NHAPI','F',0.95,2,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
56,'NHAPI','F',0.95,2,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
57,'NHAPI','F',0.95,2,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
58,'NHAPI','F',0.95,2,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
59,'NHAPI','F',0.95,2,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
60,'NHAPI','F',0.95,2,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
61,'NHAPI','M',0.3,3,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
62,'NHAPI','M',0.3,3,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
63,'NHAPI','M',0.3,3,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
64,'NHAPI','M',0.3,3,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
65,'NHAPI','M',0.3,3,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
66,'NHAPI','M',0.3,3,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
67,'NHAPI','M',0.3,3,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
68,'NHAPI','M',0.3,3,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
69,'NHAPI','M',0.3,3,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
70,'NHAPI','M',0.3,3,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
71,'NHAPI','M',0.95,2,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
72,'NHAPI','M',0.95,2,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
73,'NHAPI','M',0.95,2,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
74,'NHAPI','M',0.95,2,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
